Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy,WicketAvg
JP Faulkner,2792,8,3662,158,5-16,23.17,1,3,17.67,7.86,0.0565902579
JR Hopes,1702,1,2255,67,3-23,33.65,0,0,25.4,7.94,0.0393654524
Jaskaran Singh,275,0,371,12,2-17,30.91,0,0,22.91,8.09,0.0436363636
JO Holder,1373,3,1737,54,4-27,32.16,1,0,25.42,7.59,0.0393299345
JJ Bumrah,1832,7,2209,95,3-10,23.25,0,0,19.28,7.23,0.0518558952
J Yadav,502,0,500,15,3-10,33.33,0,0,33.46,5.97,0.0298804781
JD Unadkat,1386,0,1735,78,5-25,22.24,0,1,17.76,7.51,0.0562770563
JP Duminy,1514,0,1904,67,4-17,28.41,3,0,22.59,7.54,0.0442536328
JE Taylor,1546,4,2002,87,5-10,23.01,1,1,17.77,7.76,0.0562742561
JD Ryder,915,2,1200,33,5-27,36.36,0,1,27.72,7.86,0.0360655738
Joginder Sharma,1123,4,1345,55,4-14,24.45,1,0,20.41,7.18,0.0489759573
J Botha,3672,4,3931,146,4-16,26.92,2,0,25.15,6.42,0.0397603486
JA Morkel,4697,8,5999,230,4-25,26.08,3,0,20.42,7.66,0.048967426
JJ van der Wath,2185,3,2763,108,4-24,25.58,1,0,20.23,7.58,0.0494279176
John Wayne Hastings,1718,2,2169,96,4-26,22.59,2,0,17.89,7.57,0.055878929
J Theron,2586,2,3110,135,4-27,23.03,3,0,19.15,7.21,0.0522041763
JM Kemp,1016,0,1272,56,3-12,22.71,0,0,18.14,7.51,0.0551181102
Kamran Khan,208,0,300,12,3-18,25,0,0,17.33,8.65,0.0576923077
KS Williamson,716,1,844,27,3-33,31.25,0,0,26.51,7.07,0.0377094972
KW Richardson,1184,3,1581,61,3-9,25.91,0,0,19.4,8.01,0.0515202703
K Goel,193,0,226,10,4-13,22.6,1,0,19.3,7.02,0.0518134715
Karanveer Singh,302,0,451,18,4-15,25.05,2,0,16.77,8.96,0.059602649
KV Sharma,1483,1,1843,69,5-24,26.71,1,1,21.49,7.45,0.0465273095
KK Nair,48,0,55,2,1-3,27.5,0,0,24,6.87,0.0416666667
Anureet Singh,878,3,1191,42,3-12,28.35,0,0,20.9,8.13,0.0478359909
KM Jadhav,60,0,88,4,2-23,22,0,0,15,8.8,0.0666666667
KAJ Roach,864,1,1138,27,3-18,42.14,0,0,32,7.9,0.03125
KP Pietersen,396,0,534,17,3-33,31.41,0,0,23.29,8.09,0.0429292929
KK Cooper,2821,5,3370,165,5-15,20.42,4,1,17.09,7.16,0.0584898972
Abdur Razzak,1594,7,1843,92,4-16,20.03,3,0,17.32,6.93,0.0577164366
KA Pollard,3854,1,5151,219,4-15,23.52,4,0,17.59,8.01,0.0568240789
KB Arun Karthik,24,0,44,2,1-13,22,0,0,12,11,0.0833333333
KC Cariappa,204,0,287,11,2-14,26.09,0,0,18.54,8.44,0.0539215686
KP Appanna,414,0,530,21,4-19,25.23,1,0,19.71,7.68,0.0507246377
KD Karthik,12,0,10,1,1-10,10,0,0,12,5,0.0833333333
Krishmar Santokie,1988,6,2275,144,5-24,15.79,6,1,13.8,6.86,0.0724346076
K Upadhyay,421,1,545,20,3-25,27.25,0,0,21.05,7.76,0.0475059382
KH Pandya,449,0,495,22,3-25,22.5,0,0,20.4,6.61,0.0489977728
KMDN Kulasekara,2081,10,2495,111,4-12,22.47,3,0,18.74,7.19,0.0533397405
Kuldeep Yadav,520,1,624,37,5-17,16.86,0,1,14.05,7.2,0.0711538462
KJ Abbott,1905,6,2520,87,5-14,28.96,0,1,21.89,7.93,0.0456692913
L Balaji,2161,5,2797,126,5-24,22.19,5,1,17.15,7.76,0.0583063397
LR Shukla,976,3,1157,47,3-6,24.61,0,0,20.76,7.11,0.0481557377
LA Carseldine,84,0,113,7,2-13,16.14,0,0,12,8.07,0.0833333333
LMP Simmons,370,1,532,22,4-19,24.18,1,0,16.81,8.62,0.0594594595
LPC Silva,24,0,36,1,1-4,36,0,0,24,9,0.0416666667
Lovesh Ablash,456,3,499,36,5-6,13.86,0,2,12.66,6.56,0.0789473684
LJ Wright,1799,1,2563,79,3-17,32.44,0,0,22.77,8.54,0.0439132852
LRPL Taylor,186,0,280,8,3-28,35,0,0,23.25,9.03,0.0430107527
T Thushara,1066,1,1319,67,3-8,19.68,0,0,15.91,7.42,0.0628517824
MS Dhoni,12,0,25,0,0-25,NA,NA,NA,NA,12.5,0
M Ntini,1263,3,1575,63,4-21,25,1,0,20.04,7.48,0.0498812352
Mandeep Singh,195,0,193,13,3-21,14.84,0,0,15,5.93,0.0666666667
MK Pandey,168,0,212,10,4-27,21.2,2,0,16.8,7.57,0.0595238095
MK Tiwary,318,0,422,16,3-19,26.37,0,0,19.87,7.96,0.0503144654
MS Gony,1433,6,1829,69,4-16,26.5,1,0,20.76,7.65,0.0481507327
M de Lange,968,3,1414,53,4-23,26.67,2,0,18.26,8.76,0.0547520661
MP Stoinis,264,0,347,19,4-15,18.26,1,0,13.89,7.88,0.071969697
MN Samuels,1501,3,1761,66,3-10,26.68,0,0,22.74,7.03,0.0439706862
MJ Guptill,12,0,19,0,0-8,NA,NA,NA,NA,9.5,0
Mashrafe Mortaza,2151,2,2774,84,4-19,33.02,1,0,25.6,7.73,0.0390516039
MA Agarwal,6,0,8,0,0-8,NA,NA,NA,NA,8,0
MEK Hussey,6,0,5,0,0-5,NA,NA,NA,NA,5,0
Michael Gertges Neser,576,1,830,32,3-24,25.93,0,0,18,8.64,0.0555555556
Michael John Buchanan,12,0,24,1,1-24,24,0,0,12,12,0.0833333333
MJ Clarke,273,0,368,9,1-2,40.88,0,0,30.33,8.08,0.032967033
MJ Lumb,36,0,65,3,3-32,21.66,0,0,12,10.83,0.0833333333
MA Starc,1860,3,2215,127,4-15,17.44,1,0,14.64,7.14,0.0682795699
MG Johnson,1804,3,2360,94,3-15,25.1,0,0,19.19,7.84,0.0521064302
MJ McClenaghan,2169,5,2885,134,5-29,21.52,2,1,16.18,7.98,0.0617796219
MR Marsh,695,1,943,37,4-6,25.48,2,0,18.78,8.14,0.0532374101
M Manhas,104,0,143,5,3-33,28.6,0,0,20.8,8.25,0.0480769231
MF Maharoof,1656,0,2029,88,3-21,23.05,0,0,18.81,7.35,0.0531400966
Mohammad Ashraful,335,0,444,23,3-13,19.3,0,0,14.56,7.95,0.0686567164
Mohammad Asif,832,1,1058,50,5-11,21.16,3,1,16.64,7.62,0.0600961538
Mohammad Hafeez,2939,5,3056,135,4-10,22.63,3,0,21.77,6.23,0.0459339912
Imran Tahir,2862,4,3283,156,4-21,21.04,3,0,18.34,6.88,0.0545073375
Mohammad Mustafizur Rahman,943,2,996,57,5-22,17.47,1,1,16.54,6.33,0.0604453871
Younis Khan,104,0,136,6,3-18,22.66,0,0,17.33,7.84,0.0576923077
Mohammed Shami,1053,2,1376,60,4-24,22.93,1,0,17.55,7.84,0.056980057
MM Sharma,1584,0,2121,87,4-14,24.37,2,0,18.2,8.03,0.0549242424
Mohnish Bipinbhai Parmar,138,0,196,4,2-27,49,0,0,34.5,8.52,0.0289855072
MC Henriques,2072,0,2805,101,3-11,27.77,0,0,20.51,8.12,0.0487451737
M Morkel,3526,12,4366,174,4-17,25.09,4,0,20.26,7.42,0.0493477028
MM Patel,2039,9,2325,100,5-21,23.25,2,1,20.39,6.84,0.0490436488
M Kartik,3069,1,3450,110,5-13,31.36,0,1,27.9,6.74,0.0358422939
M Vijay,60,0,68,0,0-2,NA,NA,NA,NA,6.8,0
M Ashwin,309,0,368,17,3-18,21.64,0,0,18.17,7.14,0.0550161812
MA Khote,132,0,187,6,2-29,31.16,0,0,22,8.5,0.0454545455
M Muralitharan,3705,5,3945,179,4-16,22.03,3,0,20.69,6.38,0.0483130904
NLTC Perera,2878,4,4015,155,5-26,25.9,0,1,18.56,8.37,0.053856845
NJ Rimmington,1548,1,2026,82,5-27,24.7,1,1,18.87,7.85,0.0529715762
NL McCullum,3162,3,3784,157,4-16,24.1,4,0,20.14,7.18,0.0496521189
NM Coulter-Nile,1634,2,2110,88,4-20,23.97,2,0,18.56,7.74,0.0538555692
ND Doshi,1008,1,1143,68,4-22,16.8,4,0,14.82,6.8,0.0674603175
NK Patel,222,0,321,11,4-29,29.18,1,0,20.18,8.67,0.0495495495
N Rana,36,0,61,1,1-10,61,0,0,36,10.16,0.0277777778
OA Shah,57,0,78,5,2-26,15.6,0,0,11.4,8.21,0.0877192982
Padmanabhan Prasanth,955,1,953,63,4-13,15.12,1,0,15.15,5.98,0.0659685864
DP Vijaykumar,342,0,466,10,2-16,46.6,0,0,34.2,8.17,0.0292397661
Palani Amarnath,318,1,488,19,2-25,25.68,0,0,16.73,9.2,0.0597484277
Pankaj Singh,845,3,1073,33,3-29,32.51,0,0,25.6,7.61,0.0390532544
P Sahu,129,0,165,4,2-18,41.25,0,0,32.25,7.67,0.0310077519
Parvez Rasool,810,0,930,27,3-17,34.44,0,0,30,6.88,0.0333333333
P Awana,1359,3,1723,77,4-30,22.37,2,0,17.64,7.6,0.0566593083
PM Sarvesh Kumar,30,0,42,1,1-18,42,0,0,30,8.4,0.0333333333
PJ Cummins,1093,6,1389,57,4-16,24.36,2,0,19.17,7.62,0.0521500457
PC Valthaty,247,0,342,11,4-29,31.09,1,0,22.45,8.3,0.044534413
PD Collingwood,1372,0,1622,81,5-6,20.02,3,2,16.93,7.09,0.0590379009
P Negi,1049,2,1309,48,5-22,27.27,1,1,21.85,7.48,0.0457578646
Pawan Suyal,353,1,467,12,2-15,38.91,0,0,29.41,7.93,0.0339943343
PP Chawla,3684,4,4532,182,4-17,24.9,3,0,20.24,7.38,0.049402823
PJ Sangwan,1300,2,1639,61,3-13,26.86,0,0,21.31,7.56,0.0469230769
PP Ojha,2771,2,3297,148,4-15,22.27,3,0,18.72,7.13,0.0534103212
P Parameswaran,707,0,913,33,3-25,27.66,0,0,21.42,7.74,0.0466760962
P Kumar,3423,19,4235,130,3-18,32.57,0,0,26.33,7.42,0.0379783815
PV Tambe,1140,0,1336,59,4-15,22.64,2,0,19.32,7.03,0.051754386
Rahil Akhilahmed Shaikh,6,0,11,0,0-11,NA,NA,NA,NA,11,0
R Shukla,529,2,725,24,4-27,30.2,2,0,22.04,8.22,0.04536862
R Sharma,1590,3,1886,80,5-23,23.57,2,1,19.87,7.11,0.0503144654
R Tewatia,72,0,90,3,1-17,30,0,0,24,7.5,0.0416666667
RV Gomez,552,1,725,17,2-14,42.64,0,0,32.47,7.88,0.0307971014
R Sathish,487,1,587,20,3-12,29.35,0,0,24.35,7.23,0.0410677618
R Bhatia,2364,1,2828,103,4-15,27.45,1,0,22.95,7.17,0.04357022
R Bishnoi,6,0,10,0,0-10,NA,NA,NA,NA,10,0
Rajesh Vithal Pawar,132,0,179,6,2-21,29.83,0,0,22,8.13,0.0454545455
RR Bhatkal,297,0,379,17,3-8,22.29,0,0,17.47,7.65,0.0572390572
RR Powar,450,0,562,14,2-11,40.14,0,0,32.14,7.49,0.0311111111
RR Sarwan,18,0,22,2,2-10,11,0,0,9,7.33,0.1111111111
S Gopal,217,0,284,12,2-15,23.66,0,0,18.08,7.85,0.0552995392
Ranadeb Ranjit Bose,234,0,334,11,4-40,30.36,1,0,21.27,8.56,0.047008547
R Vinay Kumar,3028,2,3993,155,4-40,25.76,1,0,19.53,7.91,0.0511889036
R Ashwin,4150,7,4665,200,4-8,23.32,4,0,20.75,6.74,0.0481927711
RS Bopara,3262,1,3996,165,6-16,24.21,2,1,19.76,7.35,0.0505824647
R Rampaul,2446,10,2994,145,5-9,20.64,7,1,16.86,7.34,0.0592804579
RA Jadeja,2777,3,3550,119,5-16,29.83,3,1,23.33,7.67,0.0428519986
Raymond William Price,1464,7,1561,58,5-12,26.91,0,1,25.24,6.39,0.0396174863
RS Sodhi,96,0,126,5,3-23,25.2,0,0,19.2,7.87,0.0520833333
RT Ponting,12,0,23,1,1-11,23,0,0,12,11.5,0.0833333333
R Dhawan,1270,2,1567,50,3-13,31.34,0,0,25.4,7.4,0.0393700787
RJ Quiney,6,0,13,0,0-13,NA,NA,NA,NA,13,0
RJ Peterson,2630,7,3110,122,3-13,25.49,0,0,21.55,7.09,0.0463878327
RV Uthappa,6,0,11,0,0-11,NA,NA,NA,NA,11,0
RE van der Merwe,2934,3,3454,142,3-16,24.32,0,0,20.66,7.06,0.0483980913
RR Raje,511,1,667,30,3-15,22.23,0,0,17.03,7.83,0.0587084149
RS Gavaskar,87,0,112,3,1-16,37.33,0,0,29,7.72,0.0344827586
RG Sharma,628,0,817,29,4-6,28.17,1,0,21.65,7.8,0.0461783439
RG More,209,2,267,6,2-1,44.5,0,0,34.83,7.66,0.028708134
RP Singh,2903,4,3638,146,5-8,24.91,3,1,19.88,7.51,0.0502928006
Rujul Haren Bhatt,329,0,391,13,3-15,30.07,0,0,25.3,7.13,0.0395136778
RJ Harris,1419,4,1750,81,4-34,21.6,1,0,17.51,7.39,0.0570824524
R McLaren,3027,4,3996,140,5-19,28.54,2,1,21.62,7.92,0.046250413
RN ten Doeschate,2011,1,2704,104,4-24,26,1,0,19.33,8.06,0.0517155644
R Ninan,36,0,65,3,2-31,21.66,0,0,12,10.83,0.0833333333
Sachin Baby,94,0,133,3,2-4,44.33,0,0,31.33,8.48,0.0319148936
SR Tendulkar,93,0,123,2,1-12,61.5,0,0,46.5,7.93,0.0215053763
S Rana,357,0,403,20,3-22,20.15,0,0,17.85,6.77,0.056022409
Shahid Afridi,4842,9,5365,240,5-7,22.35,4,2,20.17,6.64,0.0495662949
Salman Butt,108,0,141,5,2-25,28.2,0,0,21.6,7.83,0.0462962963
Samuel Badree,3135,18,2933,146,5-22,20.08,1,1,21.47,5.61,0.0465709729
ST Jayasuriya,1593,1,1983,77,4-24,25.75,1,0,20.68,7.46,0.0483364721
Sandeep Sharma,1268,9,1558,70,4-25,22.25,1,0,18.11,7.37,0.0552050473
SB Bangar,578,1,709,31,5-16,22.87,0,1,18.64,7.35,0.053633218
SV Samson,3,0,4,1,1-4,4,0,0,3,8,0.3333333333
S Ladda,234,0,328,10,3-30,32.8,0,0,23.4,8.41,0.0427350427
Saurabh Sushant Bandekar,568,0,744,38,4-25,19.57,2,0,14.94,7.85,0.0669014085
Iqbal Abdulla,1599,2,1832,76,5-10,24.1,1,1,21.03,6.87,0.0475297061
SB Styris,2963,2,3637,125,3-5,29.09,0,0,23.7,7.36,0.0421869727
Scott Michael Boland,396,0,530,21,3-26,25.23,0,0,18.85,8.03,0.053030303
SA Abbott,703,0,1035,36,3-8,28.75,0,0,19.52,8.83,0.0512091038
SMSM Senanayake,1912,6,2036,97,4-26,20.98,2,0,19.71,6.38,0.0507322176
SL Malinga,4835,13,5393,299,6-7,18.03,8,4,16.17,6.69,0.0618407446
SB Jakati,1572,1,1971,70,5-17,28.15,2,1,22.45,7.52,0.0445292621
S Nadeem,1812,4,1991,70,3-16,28.44,0,0,25.88,6.59,0.0386313466
Shakib Al Hasan,4419,9,4973,242,6-6,20.54,6,2,18.26,6.75,0.0547635212
SJ Srivastava,452,0,653,20,3-29,32.65,0,0,22.6,8.66,0.0442477876
SE Bond,939,4,1109,51,4-19,21.74,1,0,18.41,7.08,0.054313099
