Bowler_name,Balls,Wickets,Economy,CLUSTER
RJ Peterson,2630,122,7.09,7
RV Uthappa,6,0,11,3
RE van der Merwe,2934,142,7.06,7
RR Raje,511,30,7.83,9
RS Gavaskar,87,3,7.72,3
RG Sharma,628,29,7.8,1
RG More,209,6,7.66,3
RP Singh,2903,146,7.51,7
Rujul Haren Bhatt,329,13,7.13,9
RJ Harris,1419,81,7.39,0
R McLaren,3027,140,7.92,7
RN ten Doeschate,2011,104,8.06,2
R Ninan,36,3,10.83,3
Sachin Baby,94,3,8.48,3
SR Tendulkar,93,2,7.93,3
S Rana,357,20,6.77,9
Shahid Afridi,4842,240,6.64,8
Salman Butt,108,5,7.83,3
Samuel Badree,3135,146,5.61,7
ST Jayasuriya,1593,77,7.46,0
Sandeep Sharma,1268,70,7.37,6
SB Bangar,578,31,7.35,1
SV Samson,3,1,8,3
S Ladda,234,10,8.41,9
Saurabh Sushant Bandekar,568,38,7.85,1
Iqbal Abdulla,1599,76,6.87,0
SB Styris,2963,125,7.36,7
Scott Michael Boland,396,21,8.03,9
SA Abbott,703,36,8.83,1
SMSM Senanayake,1912,97,6.38,2
SL Malinga,4835,299,6.69,8
SB Jakati,1572,70,7.52,0
S Nadeem,1812,70,6.59,2
Shakib Al Hasan,4419,242,6.75,8
SJ Srivastava,452,20,8.66,9
SE Bond,939,51,7.08,6
SK Warne,1548,70,7.22,0
SM Harwood,845,48,7.66,1
SR Watson,3490,172,7.68,4
S Sreesanth,1192,50,8.25,6
SN Thakur,262,16,7.78,9
SE Marsh,12,0,6.5,3
SM Pollock,937,45,6.37,6
SW Tait,3600,214,7.89,4
S Dhawan,48,4,8.25,3
Shivam Sharma,163,9,7.91,3
S Kaushik,138,6,8.34,3
Shoaib Akhtar,804,44,7.29,1
Shoaib Malik,2486,114,7.03,7
SS Shaikh,84,4,10.07,3
SB Wagh,629,39,7.55,1
Shrikant Shrihari Mundhe,463,26,8.11,9
SD Chitnis,72,4,9.5,3
S Kaul,864,47,6.54,1
SK Trivedi,2103,103,7.68,2
SM Katich,18,0,9.66,3
Sohail Tanvir,4892,238,7.23,8
SC Ganguly,573,29,7.91,1
Sourav Subrata Sarkar,79,2,9.64,3
S Aravind,1211,72,7.8,6
S Sriram,168,4,8.1,3
SPD Smith,785,51,7.58,1
STR Binny,1033,47,7.54,6
S Badrinath,18,1,7.33,3
S Tyagi,364,16,7.91,9
S Narwal,643,27,7.68,1
SB Joshi,283,13,7.16,9
SP Narine,4478,241,5.68,8
Sunny Gupta,254,8,6.77,9
SK Raina,1305,50,7.14,6
SA Yadav,132,6,6.36,3
Swapnil Singh,432,28,7.06,9
Shoaib Ahmed,102,5,8.94,3
Tabraiz Shamsi,1195,57,7.21,6
Taduri Prakashchandra Sudhindra,637,35,6.75,1
TM Srivastava,24,0,6.5,3
Tanmay Mishra,42,3,8.28,3
T Kohli,191,9,6.81,3
T Taibu,24,0,10.25,3
TM Dilshan,1564,64,7.25,0
Timil Kaushik Patel,134,10,6.31,3
TG Southee,2591,135,8.17,7
TL Suman,426,17,7.92,9
TM Head,109,6,8.8,3
Trent Alexander Boult,1083,52,7.94,6
T Henderson,1824,93,7.22,2
UA Birla,6,0,24,3
Umar Gul,2932,188,7.37,7
UT Yadav,1989,92,8.17,2
VR Aaron,970,40,8.2,6
V Pratap Singh,300,14,8.34,9
S Vidyut,210,14,6.91,3
Vijay Shankar,201,8,8.92,3
VY Mahesh,929,52,7.72,6
VRV Singh,667,31,7.97,1
VS Malik,827,44,7.34,1
VS Yeligati,78,2,8.38,3
V Kohli,454,8,8.73,9
V Sehwag,358,22,8.31,9
Visvajitsinh Dilipsinh Solanki,153,6,6.43,3
WPUJC Vaas,1131,64,6.77,6
WD Parnell,2912,146,7.51,7
WA Mota,249,11,7.18,9
Y Gnaneswara Rao,114,1,8.52,3
Y Venugopal Rao,306,8,8.78,9
Yashpal Singh,218,9,6.85,9
Y Nagar,285,21,7.36,9
YA Abdulla,1187,63,6.3,6
YK Pathan,2121,94,7.66,2
Yuvraj Singh,1501,79,7.25,0
YS Chahal,1657,85,7.31,0
Zaheer Khan,2803,129,7.46,7
