Batsman_name,avgScore,avgStrikeRate,CLUSTER
G Gambhir,28.62,120.78,0
KAJ Roach,7.37,113.46,8
SD Chitnis,28.33,153.15,9
AB Barath,24.15,106.5,8
M Morkel,9.73,117.83,4
KW Richardson,10.8,109.45,8
DJ Bravo,25.24,124.93,7
SS Iyer,24.12,127.36,7
VR Aaron,11.83,87.65,2
BR Dunk,22.01,121.25,0
CJ Ferguson,21.63,117.24,0
Shoaib Akhtar,5.35,98.68,2
Tanmay Mishra,19.26,99.18,8
UT Yadav,9.75,121.87,4
DAJ Bracewell,28.5,144.76,3
GJ Maxwell,23.74,156.1,9
R Dhawan,27.43,110.17,0
Abdur Razzak,8.68,89.67,2
Vijaykumar Yo Mahesh,8.6,94.5,2
