Batsman_name,avgScore,avgStrikeRate,CLUSTER
Jason Omar Holder,13.09,125.94,4
Kumar Chokshanada Sangakkara,29.23,126.9,7
Siddharth Kaul,21.0,105.0,8
Bradley John Hodge,36.72,131.25,7
Eoin Joseph Gerard Morgan,26.84,128.66,7
Irfan Khan Pathan,23.02,123.35,0
Devraj Thyagaraj Patil,18.23,113.94,8
Jasprit Jasbirsingh Bumrah,8.5,82.92,2
Sunil Philip Narine,11.13,122.62,4
Manoj Kumar Tiwary,29.61,113.32,0
Ranganath Vinay Kumar,12.74,122.04,4
Yuzvendra Singh Chahal,6.2,75.6,5
Narangoda Liyanaarachchilage Tissara Chirantha Perera,18.61,141.46,3
Carlos Ricardo Brathwaite,14.22,153.29,9
Nathan John Rimmington,10.62,105.59,8
Kamran Akmal,25.18,128.29,7
Ashok Bhimchandra Dinda,4.56,67.59,5
Shardul Narendra Thakur,11.0,104.76,8
Dishant Harendra Yagnik,17.46,113.38,8
Shanthakumaran Sreesanth,9.12,76.84,2
Veer Pratap Singh,0.5,33.33,1
Amit Mishra,13.52,96.43,2
Lovesh Ablash,1.0,50.0,5
Akshar Rajeshbhai Patel,18.63,132.54,4
Ben James Rohrer,26.84,133.33,7
Paras Dogra,25.26,110.6,0
Praveenkumar Sakat Singh,12.03,118.36,4
Karn Vinod Sharma,21.18,123.1,0
Luke Anthony Pomersbach,26.14,129.91,7
Martin James Guptill,34.21,127.92,7
Scott Bernard Styris,25.76,134.58,3
Ali Ghulam Murtaza,19.83,86.23,2
Amit Singh,2.16,54.16,5
Darren Scott Lehmann,29.3,117.95,0
Kedar Hemant Devdhar,21.62,115.77,0
Lendl Mark Platter Simmons,30.63,115.61,0
Ashley Allan Noffke,14.61,139.15,4
Mashrafe Bin Mortaza,13.28,130.7,4
Mitchell Aaron Starc,8.26,87.32,2
Tanmay Manoj Srivastava,22.1,113.82,0
Adam Zampa,5.3,93.24,2
Dominic John Thornely,21.02,117.52,0
Wasim Jaffer,28.0,129.14,7
Cheteshwar Arvindbhai Pujara,25.66,105.81,8
Krishmar Santokie,8.58,92.99,2
Kotragada Prabhu Appanna,13.0,130.0,4
Manvinder Bisla,21.7,110.7,8
Parthiv Ajaybhai Patel,22.34,120.0,0
Ramnaresh Ronnie Sarwan,19.3,103.81,8
Johan Botha,19.62,112.13,8
Manpreet Singh Gony,14.13,144.65,9
Nayan Dilip Doshi,2.0,29.41,1
Ryan Ninan,3.0,50.0,5
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,10.36,93.5,2
Damien Richard Martyn,29.16,149.57,3
John Wayne Hastings,15.65,152.13,9
Misbah-ul-Haq Khan Niazi,34.07,118.69,0
Shaun William Tait,5.82,81.09,2
Anustup Prabir Majumdar,18.05,94.75,2
Luteru Ross Poutoa Lote Taylor,30.6,133.4,7
Andre Nel,10.33,137.16,4
Barinder Sran,21.0,190.9,6
Nathan Mitchell Coulter-Nile,14.82,126.29,4
Ajit Chandila,18.87,105.59,8
Azharuddin Arjun Bilakhia,23.56,107.71,8
Paul Chandrasekhar Valthaty,23.57,126.5,7
Abhishek Arunkumar Jhunjhunwala,18.15,103.96,8
Jesse Daniel Ryder,26.36,147.65,3
Laxmi Ratan Shukla,20.7,120.63,0
Mathurage Don Kusal Janith Perera,20.76,126.22,4
Sarfaraz Naushad Khan,24.8,168.7,9
Sandeep Sharma,20.0,66.66,5
Tabraiz Shamsi,4.85,54.83,5
Ajit Bhalchandra Agarkar,14.3,125.43,4
Mark Verdon Boucher,28.12,115.5,0
Steven Peter Devereux Smith,28.82,126.04,7
Denagamage Proboth Mahela de Silva Jayawardene,28.61,129.92,7
Sachin Baby,19.61,130.78,4
Vikram Rajvir Singh,13.0,125.8,4
Wriddhaman Prasanta Saha,24.82,130.64,7
Luke James Wright,28.54,145.98,3
Owais Alam Shah,32.79,125.06,7
Saurabh Sunil Tiwary,30.3,121.87,7
Dwayne Romel Smith,26.23,127.55,7
Kevin Peter Pietersen,34.74,136.13,3
Anil Kumble,11.5,77.96,2
Rohit Gurunath Sharma,33.38,131.68,7
Sanju Viswanath Samson,25.48,118.32,0
Aavishkar Madhav Salvi,8.0,69.56,5
Ben Laughlin,6.37,94.44,2
Rilee Roscoe Rossouw,26.78,129.91,7
Sunny Sohal,18.92,116.93,0
Yashpal Singh,24.94,102.31,8
Gurinder Singh Sandhu,6.25,78.12,2
Cameron Leon White,30.56,127.99,7
Ryan McLaren,19.79,110.94,8
Herschelle Herman Gibbs,25.29,123.22,0
Jagrit Anand,18.27,95.26,2
Michael Edward Killeen Hussey,37.45,124.9,7
Parvez Rasool Zarghav,18.38,97.15,8
Ankit Nagendra Sharma,9.89,112.57,8
Kedar Mahadeo Jadhav,24.53,138.45,3
Konganda Charamanna Cariappa,13.0,118.18,4
Mandeep Singh,25.65,122.62,0
Murali Vijay,25.76,121.82,0
Abraham Benjamin de Villiers,33.47,144.58,3
Bradley James Haddin,24.06,125.14,7
Tillakaratne Mudiyanselage Dilshan,27.04,122.79,0
Abhinav Kumar,56.0,186.66,6
Anirudh Srikkanth,25.54,123.42,0
Wayne Dillon Parnell,18.09,121.52,0
Shikhar Dhawan,30.7,119.38,0
Usman Tariq Khawaja,31.93,124.7,7
Michael John Buchanan,15.0,127.65,4
Michael Klinger,38.91,127.03,7
Mohit Sharma,8.0,106.66,8
Quinton de Kock,33.95,135.49,3
Udit Alok Birla,24.09,107.94,8
Yalaka Venugopal Rao,23.55,121.71,0
Abhishek Santosh Raut,20.44,113.93,0
Mohammad Ashraful,23.21,117.54,0
Nitish Rana,34.0,149.86,3
Shane Michael Harwood,16.83,132.89,4
Halhadar Michu Das,18.4,96.84,8
Separamadu Lasith Malinga Swarnajith,6.83,97.95,2
Shaun Edward Marsh,40.89,129.2,7
Shivnarine Chanderpaul,23.52,105.7,8
Stuart Terence Roger Binny,19.92,127.49,4
Virat Kohli,41.69,133.09,7
Travis Rodney Birt,22.79,129.08,7
Sourav Subrata Sarkar,0.0,0.0,1
Mohnish Dinesh Mishra,20.43,133.18,4
Robin John Peterson,16.41,111.6,8
Salman Butt,33.07,111.27,0
Christopher James Jordan,18.96,120.95,0
Sahibzada Mohammad Shahid Khan Afridi,19.02,155.7,9
Andrew Flintoff,22.76,142.88,3
Dinesh Salunkhe,16.5,137.5,4
Ishwar Chand Pandey,8.0,136.58,4
Jacques Henry Kallis,30.88,112.45,0
Manprit Charanjit Juneja,31.1,126.04,7
Muttiah Muralitharan,3.37,73.63,5
Subramaniam Badrinath,28.05,111.5,0
Ronit Gajanan More,5.0,62.5,5
Brett Geeves,22.16,135.71,3
Mohammad Asif,4.33,86.66,2
Balapuwaduge Ajantha Winslo Mendis,5.34,69.49,5
Brett Lee,13.86,131.23,4
Hashim Mahomed Amla,31.71,126.33,7
Raymond William Price,7.25,79.09,2
Marchant de Lange,10.5,118.86,4
Murali Kartik,12.8,110.34,8
Pankaj Dharmani,9.4,111.9,8
Beuran Eric Hendricks,7.0,67.74,5
Yusuf Adam Abdulla,8.66,72.22,5
Azhar Mahmood Sagar,25.56,135.32,3
Sean Anthony Abbott,9.54,98.7,2
Clinton James McKay,12.75,120.85,4
James Douglas Sheehan Neesham,26.72,137.74,3
Daniel Joseph Harris,29.77,127.51,7
Padmanabhan Prasanth,19.0,133.8,4
Rishabh Rajendra Panth,24.75,130.26,7
Ryan Neil ten Doeschate,29.34,135.87,3
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,22.1,121.46,0
Jalaj Sahay Saxena,15.77,86.54,2
Mohamed Farveez Maharoof,17.93,119.41,0
Adam Craig Gilchrist,27.03,140.28,3
Benjamin William Hilfenhaus,8.93,93.05,2
Sayed Iqbal Abdulla,13.75,98.8,8
Chamara Kantha Kapugedera,21.63,131.33,7
George John Bailey,28.38,131.14,7
Mohammad Younis Khan,30.55,117.3,0
Abhishek Mohan Nayar,20.92,122.35,0
Gautam Gambhir,28.62,120.78,0
Kemar Andre Jamal Roach,7.37,113.46,8
Siddharth Dilip Chitnis,28.33,153.15,9
Adrian Boris Barath,24.15,106.5,8
Morne Morkel,9.73,117.83,4
Kane William Richardson,10.8,109.45,8
Dwayne John Bravo,25.24,124.93,7
Shreyas Santosh Iyer,24.12,127.36,7
Varun Raymond Aaron,11.83,87.65,2
Ben Robert Dunk,22.01,121.25,0
Callum James Ferguson,21.63,117.24,0
Shoaib Akhtar,5.35,98.68,2
Tanmay Mishra,19.26,99.18,8
Umeshkumar Tilak Yadav,9.75,121.87,4
Douglas Andrew John Bracewell,28.5,144.76,3
Glenn James Maxwell,23.74,156.1,9
Rishi Dhawan,27.43,110.17,0
Khan Abdur Razzak,8.68,89.67,2
Vijaykumar Yo Mahesh,8.6,94.5,2
